,Unnamed: 0,Game_Id,Date,Period,Event,Description,Time_Elapsed,Seconds_Elapsed,Strength,Ev_Zone,Type,Ev_Team,Home_Zone,Away_Team,Home_Team,p1_name,p1_ID,p2_name,p2_ID,p3_name,p3_ID,awayPlayer1,awayPlayer1_id,awayPlayer2,awayPlayer2_id,awayPlayer3,awayPlayer3_id,awayPlayer4,awayPlayer4_id,awayPlayer5,awayPlayer5_id,awayPlayer6,awayPlayer6_id,homePlayer1,homePlayer1_id,homePlayer2,homePlayer2_id,homePlayer3,homePlayer3_id,homePlayer4,homePlayer4_id,homePlayer5,homePlayer5_id,homePlayer6,homePlayer6_id,Away_Players,Home_Players,Away_Score,Home_Score,Away_Goalie,Away_Goalie_Id,Home_Goalie,Home_Goalie_Id,xC,yC,Home_Coach,Away_Coach,prev_Unnamed: 0,prev_Game_Id,prev_Date,prev_Period,prev_Event,prev_Description,prev_Time_Elapsed,prev_Seconds_Elapsed,prev_Strength,prev_Ev_Zone,prev_Type,prev_Ev_Team,prev_Home_Zone,prev_Away_Team,prev_Home_Team,prev_p1_name,prev_p1_ID,prev_p2_name,prev_p2_ID,prev_p3_name,prev_p3_ID,prev_awayPlayer1,prev_awayPlayer1_id,prev_awayPlayer2,prev_awayPlayer2_id,prev_awayPlayer3,prev_awayPlayer3_id,prev_awayPlayer4,prev_awayPlayer4_id,prev_awayPlayer5,prev_awayPlayer5_id,prev_awayPlayer6,prev_awayPlayer6_id,prev_homePlayer1,prev_homePlayer1_id,prev_homePlayer2,prev_homePlayer2_id,prev_homePlayer3,prev_homePlayer3_id,prev_homePlayer4,prev_homePlayer4_id,prev_homePlayer5,prev_homePlayer5_id,prev_homePlayer6,prev_homePlayer6_id,prev_Away_Players,prev_Home_Players,prev_Away_Score,prev_Home_Score,prev_Away_Goalie,prev_Away_Goalie_Id,prev_Home_Goalie,prev_Home_Goalie_Id,prev_xC,prev_yC,prev_Home_Coach,prev_Away_Coach,home_or_away,true_strength,on_empty_net,Goal_Probability,total_xG,Minutes_Elapsed
28,28,30123,2024-04-24,1,SHOT,"TOR ONGOAL - #64 KAMPF, Wrist , Off. Zone, 40 ft. ",3:33,213.0,5x5,Off,WRIST SHOT,TOR,Off,BOS,TOR,DAVID KAMPF,8480144.0,,,,,JOHN BEECHER,8481556.0,JESPER BOQVIST,8480003.0,PAT MAROON,8474034.0,KEVIN SHATTENKIRK,8474031.0,PARKER WOTHERSPOON,8478450.0,JEREMY SWAYMAN,8480280.0,DAVID KAMPF,8480144.0,RYAN REAVES,8471817.0,TYLER BERTUZZI,8477479.0,SIMON BENOIT,8481122.0,JAKE MCCABE,8476931.0,ILYA SAMSONOV,8478492.0,6,6,0,0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,-49.0,6.0,Sheldon Keefe,Jim Montgomery,27.0,30123.0,2024-04-24,1.0,HIT,"BOS #19 BEECHER HIT TOR #22 MCCABE, Off. Zone",3:28,208.0,5x5,Off,,BOS,Def,BOS,TOR,JOHN BEECHER,8481556.0,JAKE MCCABE,8476931.0,,,JOHN BEECHER,8481556.0,JESPER BOQVIST,8480003.0,PAT MAROON,8474034.0,KEVIN SHATTENKIRK,8474031.0,PARKER WOTHERSPOON,8478450.0,JEREMY SWAYMAN,8480280.0,DAVID KAMPF,8480144.0,RYAN REAVES,8471817.0,TYLER BERTUZZI,8477479.0,SIMON BENOIT,8481122.0,JAKE MCCABE,8476931.0,ILYA SAMSONOV,8478492.0,6.0,6.0,0.0,0.0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,98.0,0.0,Sheldon Keefe,Jim Montgomery,home,5x5,0,0.0,0.0,3.55
39,39,30123,2024-04-24,1,SHOT,"TOR ONGOAL - #44 RIELLY, Wrist , Off. Zone, 29 ft. ",4:19,259.0,5x5,Off,WRIST SHOT,TOR,Off,BOS,TOR,MORGAN RIELLY,8476853.0,,,,,TRENT FREDERIC,8479365.0,JAMES VAN RIEMSDYK,8474037.0,DANTON HEINEN,8478046.0,MASON LOHREI,8482511.0,BRANDON CARLO,8478443.0,JEREMY SWAYMAN,8480280.0,CALLE JARNKROK,8475714.0,AUSTON MATTHEWS,8479318.0,PONTUS HOLMBERG,8480995.0,TYLER BERTUZZI,8477479.0,MORGAN RIELLY,8476853.0,ILYA LYUBUSHKIN,8480950.0,6,6,0,0,JEREMY SWAYMAN,8480280.0,,,-70.0,23.0,Sheldon Keefe,Jim Montgomery,38.0,30123.0,2024-04-24,1.0,DELPEN,BOS,4:17,257.0,5x5,,,,,BOS,TOR,,,,,,,TRENT FREDERIC,8479365.0,JAMES VAN RIEMSDYK,8474037.0,DANTON HEINEN,8478046.0,MASON LOHREI,8482511.0,BRANDON CARLO,8478443.0,JEREMY SWAYMAN,8480280.0,CALLE JARNKROK,8475714.0,PONTUS HOLMBERG,8480995.0,TYLER BERTUZZI,8477479.0,MORGAN RIELLY,8476853.0,ILYA LYUBUSHKIN,8480950.0,ILYA SAMSONOV,8478492.0,6.0,6.0,0.0,0.0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,,,Sheldon Keefe,Jim Montgomery,home,5x5,0,0.089772604,0.089772604,4.316666666666666
106,106,30123,2024-04-24,1,SHOT,"TOR ONGOAL - #11 DOMI, Wrist , Off. Zone, 26 ft. ",13:41,821.0,5x5,Off,WRIST SHOT,TOR,Off,BOS,TOR,MAX DOMI,8477503.0,,,,,PAVEL ZACHA,8478401.0,DAVID PASTRNAK,8477956.0,JAKE DEBRUSK,8478498.0,BRANDON CARLO,8478443.0,HAMPUS LINDHOLM,8476854.0,JEREMY SWAYMAN,8480280.0,MAX DOMI,8477503.0,AUSTON MATTHEWS,8479318.0,TYLER BERTUZZI,8477479.0,MORGAN RIELLY,8476853.0,ILYA LYUBUSHKIN,8480950.0,ILYA SAMSONOV,8478492.0,6,6,0,0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,-70.0,-19.0,Sheldon Keefe,Jim Montgomery,105.0,30123.0,2024-04-24,1.0,TAKE,"TOR TAKEAWAY - #34 MATTHEWS, Def. Zone",13:36,816.0,5x5,Def,,TOR,Def,BOS,TOR,AUSTON MATTHEWS,8479318.0,,,,,PAVEL ZACHA,8478401.0,DAVID PASTRNAK,8477956.0,JAKE DEBRUSK,8478498.0,BRANDON CARLO,8478443.0,HAMPUS LINDHOLM,8476854.0,JEREMY SWAYMAN,8480280.0,MAX DOMI,8477503.0,AUSTON MATTHEWS,8479318.0,TYLER BERTUZZI,8477479.0,MORGAN RIELLY,8476853.0,ILYA LYUBUSHKIN,8480950.0,ILYA SAMSONOV,8478492.0,6.0,6.0,0.0,0.0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,50.0,-36.0,Sheldon Keefe,Jim Montgomery,home,5x5,0,0.055505674,0.14527828,13.683333333333334
124,124,30123,2024-04-24,1,MISS,"TOR #91 TAVARES, Snap, Hit Crossbar, Off. Zone, 37 ft. ",16:06,966.0,5x5,Off,SNAP SHOT,TOR,Off,BOS,TOR,JOHN TAVARES,8475166.0,,,,,PAVEL ZACHA,8478401.0,DAVID PASTRNAK,8477956.0,JAKE DEBRUSK,8478498.0,MASON LOHREI,8482511.0,CHARLIE MCAVOY,8479325.0,JEREMY SWAYMAN,8480280.0,JOHN TAVARES,8475166.0,MITCH MARNER,8478483.0,MATTHEW KNIES,8482720.0,MORGAN RIELLY,8476853.0,ILYA LYUBUSHKIN,8480950.0,ILYA SAMSONOV,8478492.0,6,6,0,0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,-57.0,-20.0,Sheldon Keefe,Jim Montgomery,123.0,30123.0,2024-04-24,1.0,HIT,"BOS #73 MCAVOY HIT TOR #23 KNIES, Def. Zone",16:05,965.0,5x5,Def,,BOS,Off,BOS,TOR,CHARLIE MCAVOY,8479325.0,MATTHEW KNIES,8482720.0,,,PAVEL ZACHA,8478401.0,DAVID PASTRNAK,8477956.0,JAKE DEBRUSK,8478498.0,MASON LOHREI,8482511.0,CHARLIE MCAVOY,8479325.0,JEREMY SWAYMAN,8480280.0,JOHN TAVARES,8475166.0,MITCH MARNER,8478483.0,MATTHEW KNIES,8482720.0,MORGAN RIELLY,8476853.0,ILYA LYUBUSHKIN,8480950.0,ILYA SAMSONOV,8478492.0,6.0,6.0,0.0,0.0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,-75.0,-37.0,Sheldon Keefe,Jim Montgomery,home,5x5,0,0.016394049,0.16167232,16.1
133,133,30123,2024-04-24,1,SHOT,"TOR ONGOAL - #34 MATTHEWS, Backhand , Neu. Zone, 87 ft. ",17:19,1039.0,5x5,Neu,BACKHAND,TOR,Neu,BOS,TOR,AUSTON MATTHEWS,8479318.0,,,,,TRENT FREDERIC,8479365.0,JAMES VAN RIEMSDYK,8474037.0,DANTON HEINEN,8478046.0,PARKER WOTHERSPOON,8478450.0,CHARLIE MCAVOY,8479325.0,JEREMY SWAYMAN,8480280.0,MAX DOMI,8477503.0,AUSTON MATTHEWS,8479318.0,TYLER BERTUZZI,8477479.0,JOEL EDMUNDSON,8476441.0,TIMOTHY LILJEGREN,8480043.0,ILYA SAMSONOV,8478492.0,6,6,0,0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,-8.0,32.0,Sheldon Keefe,Jim Montgomery,132.0,30123.0,2024-04-24,1.0,HIT,"TOR #34 MATTHEWS HIT BOS #11 FREDERIC, Neu. Zone",17:14,1034.0,5x5,Neu,,TOR,Neu,BOS,TOR,AUSTON MATTHEWS,8479318.0,TRENT FREDERIC,8479365.0,,,TRENT FREDERIC,8479365.0,JAMES VAN RIEMSDYK,8474037.0,DANTON HEINEN,8478046.0,PARKER WOTHERSPOON,8478450.0,CHARLIE MCAVOY,8479325.0,JEREMY SWAYMAN,8480280.0,MAX DOMI,8477503.0,AUSTON MATTHEWS,8479318.0,TYLER BERTUZZI,8477479.0,JOEL EDMUNDSON,8476441.0,TIMOTHY LILJEGREN,8480043.0,ILYA SAMSONOV,8478492.0,6.0,6.0,0.0,0.0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,16.0,-38.0,Sheldon Keefe,Jim Montgomery,home,5x5,0,0.01133543,0.17300776,17.316666666666666
136,136,30123,2024-04-24,1,SHOT,"TOR ONGOAL - #11 DOMI, Wrist , Off. Zone, 10 ft. ",17:27,1047.0,5x5,Off,WRIST SHOT,TOR,Off,BOS,TOR,MAX DOMI,8477503.0,,,,,JOHN BEECHER,8481556.0,JESPER BOQVIST,8480003.0,DANTON HEINEN,8478046.0,PARKER WOTHERSPOON,8478450.0,CHARLIE MCAVOY,8479325.0,JEREMY SWAYMAN,8480280.0,MAX DOMI,8477503.0,AUSTON MATTHEWS,8479318.0,TYLER BERTUZZI,8477479.0,MORGAN RIELLY,8476853.0,ILYA LYUBUSHKIN,8480950.0,ILYA SAMSONOV,8478492.0,6,6,0,0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,-81.0,8.0,Sheldon Keefe,Jim Montgomery,135.0,30123.0,2024-04-24,1.0,HIT,"TOR #59 BERTUZZI HIT BOS #29 WOTHERSPOON, Off. Zone",17:26,1046.0,5x5,Off,,TOR,Off,BOS,TOR,TYLER BERTUZZI,8477479.0,PARKER WOTHERSPOON,8478450.0,,,JOHN BEECHER,8481556.0,JESPER BOQVIST,8480003.0,DANTON HEINEN,8478046.0,PARKER WOTHERSPOON,8478450.0,CHARLIE MCAVOY,8479325.0,JEREMY SWAYMAN,8480280.0,MAX DOMI,8477503.0,AUSTON MATTHEWS,8479318.0,TYLER BERTUZZI,8477479.0,MORGAN RIELLY,8476853.0,ILYA LYUBUSHKIN,8480950.0,ILYA SAMSONOV,8478492.0,6.0,6.0,0.0,0.0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,-99.0,6.0,Sheldon Keefe,Jim Montgomery,home,5x5,0,0.053356163,0.22636393,17.45
165,165,30123,2024-04-24,2,SHOT,"TOR ONGOAL - #2 BENOIT, Slap , Off. Zone, 66 ft. ",0:22,1222.0,5x5,Off,SLAP SHOT,TOR,Off,BOS,TOR,SIMON BENOIT,8481122.0,,,,,CHARLIE COYLE,8475745.0,MORGAN GEEKIE,8479987.0,BRAD MARCHAND,8473419.0,BRANDON CARLO,8478443.0,HAMPUS LINDHOLM,8476854.0,JEREMY SWAYMAN,8480280.0,JOHN TAVARES,8475166.0,MITCH MARNER,8478483.0,MATTHEW KNIES,8482720.0,SIMON BENOIT,8481122.0,JAKE MCCABE,8476931.0,ILYA SAMSONOV,8478492.0,6,6,0,0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,29.0,29.0,Sheldon Keefe,Jim Montgomery,164.0,30123.0,2024-04-24,2.0,GIVE,"TOR GIVEAWAY - #91 TAVARES, Off. Zone",0:21,21.0,5x5,Off,,TOR,Off,BOS,TOR,JOHN TAVARES,8475166.0,,,,,CHARLIE COYLE,8475745.0,MORGAN GEEKIE,8479987.0,BRAD MARCHAND,8473419.0,BRANDON CARLO,8478443.0,HAMPUS LINDHOLM,8476854.0,JEREMY SWAYMAN,8480280.0,JOHN TAVARES,8475166.0,MITCH MARNER,8478483.0,MATTHEW KNIES,8482720.0,SIMON BENOIT,8481122.0,JAKE MCCABE,8476931.0,ILYA SAMSONOV,8478492.0,6.0,6.0,0.0,0.0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,47.0,35.0,Sheldon Keefe,Jim Montgomery,home,5x5,0,0.0,0.22636393,20.366666666666667
167,167,30123,2024-04-24,2,MISS,"TOR #34 MATTHEWS, Wrist, Hit Left Post, Off. Zone, 37 ft. ",1:01,1261.0,5x5,Off,WRIST SHOT,TOR,Off,BOS,TOR,AUSTON MATTHEWS,8479318.0,,,,,PAVEL ZACHA,8478401.0,DAVID PASTRNAK,8477956.0,JAKE DEBRUSK,8478498.0,MASON LOHREI,8482511.0,CHARLIE MCAVOY,8479325.0,JEREMY SWAYMAN,8480280.0,MAX DOMI,8477503.0,AUSTON MATTHEWS,8479318.0,TYLER BERTUZZI,8477479.0,SIMON BENOIT,8481122.0,JAKE MCCABE,8476931.0,ILYA SAMSONOV,8478492.0,6,6,0,0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,58.0,-20.0,Sheldon Keefe,Jim Montgomery,166.0,30123.0,2024-04-24,2.0,BLOCK,"BOS #27 LINDHOLM OPPONENT-BLOCKED BY TOR #34 MATTHEWS, Wrist, Def. Zone ",0:32,32.0,5x5,Def,WRIST SHOT,BOS,Def,BOS,TOR,AUSTON MATTHEWS,8479318.0,HAMPUS LINDHOLM,8476854.0,,,CHARLIE COYLE,8475745.0,MORGAN GEEKIE,8479987.0,BRAD MARCHAND,8473419.0,HAMPUS LINDHOLM,8476854.0,CHARLIE MCAVOY,8479325.0,JEREMY SWAYMAN,8480280.0,AUSTON MATTHEWS,8479318.0,JOHN TAVARES,8475166.0,MATTHEW KNIES,8482720.0,SIMON BENOIT,8481122.0,JAKE MCCABE,8476931.0,ILYA SAMSONOV,8478492.0,6.0,6.0,0.0,0.0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,-58.0,-14.0,Sheldon Keefe,Jim Montgomery,home,5x5,0,0.0,0.22636393,21.016666666666666
169,169,30123,2024-04-24,2,SHOT,"TOR ONGOAL - #44 RIELLY, Snap , Neu. Zone, 75 ft. ",1:35,1295.0,5x5,Neu,SNAP SHOT,TOR,Neu,BOS,TOR,MORGAN RIELLY,8476853.0,,,,,JOHN BEECHER,8481556.0,JESPER BOQVIST,8480003.0,PAT MAROON,8474034.0,KEVIN SHATTENKIRK,8474031.0,PARKER WOTHERSPOON,8478450.0,JEREMY SWAYMAN,8480280.0,MAX DOMI,8477503.0,PONTUS HOLMBERG,8480995.0,TYLER BERTUZZI,8477479.0,MORGAN RIELLY,8476853.0,ILYA LYUBUSHKIN,8480950.0,ILYA SAMSONOV,8478492.0,6,6,0,0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,15.0,12.0,Sheldon Keefe,Jim Montgomery,168.0,30123.0,2024-04-24,2.0,SHOT,"BOS ONGOAL - #18 ZACHA, Wrist , Off. Zone, 29 ft. ",1:19,79.0,5x5,Off,WRIST SHOT,BOS,Def,BOS,TOR,PAVEL ZACHA,8478401.0,,,,,PAVEL ZACHA,8478401.0,DAVID PASTRNAK,8477956.0,JAKE DEBRUSK,8478498.0,MASON LOHREI,8482511.0,PARKER WOTHERSPOON,8478450.0,JEREMY SWAYMAN,8480280.0,MAX DOMI,8477503.0,PONTUS HOLMBERG,8480995.0,TYLER BERTUZZI,8477479.0,MORGAN RIELLY,8476853.0,ILYA LYUBUSHKIN,8480950.0,ILYA SAMSONOV,8478492.0,6.0,6.0,0.0,0.0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,-73.0,-25.0,Sheldon Keefe,Jim Montgomery,home,5x5,0,0.9670469,1.1934109,21.583333333333332
197,197,30123,2024-04-24,2,SHOT,"TOR ONGOAL - #91 TAVARES, Wrist , Off. Zone, 40 ft. ",6:12,1572.0,5x5,Off,WRIST SHOT,TOR,Off,BOS,TOR,JOHN TAVARES,8475166.0,,,,,TRENT FREDERIC,8479365.0,JAMES VAN RIEMSDYK,8474037.0,DANTON HEINEN,8478046.0,MASON LOHREI,8482511.0,CHARLIE MCAVOY,8479325.0,JEREMY SWAYMAN,8480280.0,JOHN TAVARES,8475166.0,MITCH MARNER,8478483.0,NICHOLAS ROBERTSON,8481582.0,TIMOTHY LILJEGREN,8480043.0,MORGAN RIELLY,8476853.0,ILYA SAMSONOV,8478492.0,6,6,0,0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,62.0,30.0,Sheldon Keefe,Jim Montgomery,196.0,30123.0,2024-04-24,2.0,HIT,"BOS #11 FREDERIC HIT TOR #44 RIELLY, Off. Zone",6:07,367.0,5x5,Off,,BOS,Def,BOS,TOR,TRENT FREDERIC,8479365.0,MORGAN RIELLY,8476853.0,,,TRENT FREDERIC,8479365.0,JAMES VAN RIEMSDYK,8474037.0,DANTON HEINEN,8478046.0,MASON LOHREI,8482511.0,CHARLIE MCAVOY,8479325.0,JEREMY SWAYMAN,8480280.0,JOHN TAVARES,8475166.0,MITCH MARNER,8478483.0,NICHOLAS ROBERTSON,8481582.0,MORGAN RIELLY,8476853.0,ILYA LYUBUSHKIN,8480950.0,ILYA SAMSONOV,8478492.0,6.0,6.0,0.0,0.0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,-99.0,12.0,Sheldon Keefe,Jim Montgomery,home,5x5,0,0.0067817685,1.2001927,26.2
226,226,30123,2024-04-24,2,SHOT,"TOR ONGOAL - #24 DEWAR, Snap , Off. Zone, 19 ft. ",10:07,1807.0,5x5,Off,SNAP SHOT,TOR,Off,BOS,TOR,CONNOR DEWAR,8480980.0,,,,,MORGAN GEEKIE,8479987.0,DAVID PASTRNAK,8477956.0,PAT MAROON,8474034.0,MASON LOHREI,8482511.0,KEVIN SHATTENKIRK,8474031.0,JEREMY SWAYMAN,8480280.0,CONNOR DEWAR,8480980.0,DAVID KAMPF,8480144.0,RYAN REAVES,8471817.0,SIMON BENOIT,8481122.0,JAKE MCCABE,8476931.0,ILYA SAMSONOV,8478492.0,6,6,0,0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,75.0,14.0,Sheldon Keefe,Jim Montgomery,225.0,30123.0,2024-04-24,2.0,HIT,"TOR #64 KAMPF HIT BOS #13 COYLE, Off. Zone",9:52,592.0,5x5,Off,,TOR,Off,BOS,TOR,DAVID KAMPF,8480144.0,CHARLIE COYLE,8475745.0,,,CHARLIE COYLE,8475745.0,DAVID PASTRNAK,8477956.0,BRAD MARCHAND,8473419.0,MASON LOHREI,8482511.0,KEVIN SHATTENKIRK,8474031.0,JEREMY SWAYMAN,8480280.0,MAX DOMI,8477503.0,CONNOR DEWAR,8480980.0,DAVID KAMPF,8480144.0,JOEL EDMUNDSON,8476441.0,ILYA LYUBUSHKIN,8480950.0,ILYA SAMSONOV,8478492.0,6.0,6.0,0.0,0.0,JEREMY SWAYMAN,8480280.0,ILYA SAMSONOV,8478492.0,92.0,21.0,Sheldon Keefe,Jim Montgomery,home,5x5,0,0.096143045,1.2963357,30.116666666666667
